C12,C13,LO12_1,LO12_2,LO13_1,AT1,AT2,AT3
4.8,6.9,4.4,5.2,6.9,4.4,5.2,6.9
3.95,6.6,4.0,3.9,6.6,4.0,3.9,6.6
4.9,5.9,5.2,4.6,5.9,5.2,4.6,5.9
4.05,6.7,5.2,2.9,6.7,5.2,2.9,6.7
4.5,6.2,4.7,4.3,6.2,4.7,4.3,6.2
3.55,5.9,3.6,3.5,5.9,3.6,3.5,5.9
5.0,6.9,5.3,4.7,6.9,5.3,4.7,6.9
2.85,6.6,2.6,3.1,6.6,2.6,3.1,6.6
4.3,6.9,5.1,3.5,6.9,5.1,3.5,6.9
3.95,6.9,3.5,4.4,6.9,3.5,4.4,6.9
3.3,6.2,4.8,1.8,6.2,4.8,1.8,6.2
2.55,6.8,2.8,2.3,6.8,2.8,2.3,6.8
5.2,7.0,4.6,5.8,7.0,4.6,5.8,7.0
2.5,6.2,3.1,1.9,6.2,3.1,1.9,6.2
4.55,6.3,4.3,4.8,6.3,4.3,4.8,6.3
4.45,6.8,4.3,4.6,6.8,4.3,4.6,6.8
3.7,6.6,4.1,3.3,6.6,4.1,3.3,6.6
4.15,6.8,3.8,4.5,6.8,3.8,4.5,6.8
3.95,6.9,3.4,4.5,6.9,3.4,4.5,6.9
4.4,6.6,5.4,3.4,6.6,5.4,3.4,6.6
2.65,6.3,2.7,2.6,6.3,2.7,2.6,6.3
3.6,6.6,3.0,4.2,6.6,3.0,4.2,6.6
4.35,6.4,4.9,3.8,6.4,4.9,3.8,6.4
4.05,6.2,4.0,4.1,6.2,4.0,4.1,6.2
4.05,6.7,3.2,4.9,6.7,3.2,4.9,6.7
5.4,7.0,5.6,5.2,7.0,5.6,5.2,7.0
3.8,6.9,3.7,3.9,6.9,3.7,3.9,6.9
4.25,7.0,4.3,4.2,7.0,4.3,4.2,7.0
3.0,6.7,2.9,3.1,6.7,2.9,3.1,6.7
4.0,6.8,3.7,4.3,6.8,3.7,4.3,6.8
3.2,6.8,3.4,3.0,6.8,3.4,3.0,6.8
4.95,6.9,6.0,3.9,6.9,6.0,3.9,6.9
2.95,6.8,3.2,2.7,6.8,3.2,2.7,6.8
2.35,6.7,3.1,1.6,6.7,3.1,1.6,6.7
4.45,6.7,4.5,4.4,6.7,4.5,4.4,6.7
5.05,6.2,5.9,4.2,6.2,5.9,4.2,6.2
3.25,5.9,3.7,2.8,5.9,3.7,2.8,5.9
4.55,6.9,4.4,4.7,6.9,4.4,4.7,6.9
3.65,4.9,3.4,3.9,4.9,3.4,3.9,4.9
3.7,7.0,4.7,2.7,7.0,4.7,2.7,7.0
3.75,6.9,3.7,3.8,6.9,3.7,3.8,6.9
3.05,6.7,4.2,1.9,6.7,4.2,1.9,6.7
2.75,6.6,3.2,2.3,6.6,3.2,2.3,6.6
4.4,6.8,5.2,3.6,6.8,5.2,3.6,6.8
2.4,4.9,2.4,2.4,4.9,2.4,2.4,4.9
3.35,6.5,4.0,2.7,6.5,4.0,2.7,6.5
2.45,6.4,2.3,2.6,6.4,2.3,2.6,6.4
4.75,6.6,5.2,4.3,6.6,5.2,4.3,6.6
3.35,7.0,3.1,3.6,7.0,3.1,3.6,7.0
3.15,6.2,4.2,2.1,6.2,4.2,2.1,6.2
4.45,5.9,4.3,4.6,5.9,4.3,4.6,5.9
4.2,6.7,4.3,4.1,6.7,4.3,4.1,6.7
4.1,5.9,4.1,4.1,5.9,4.1,4.1,5.9
3.6,6.2,4.0,3.2,6.2,4.0,3.2,6.2
4.6,7.0,3.7,5.5,7.0,3.7,5.5,7.0
3.25,6.7,3.2,3.3,6.7,3.2,3.3,6.7
3.85,6.9,4.2,3.5,6.9,4.2,3.5,6.9
3.85,6.2,4.0,3.7,6.2,4.0,3.7,6.2
3.45,5.2,4.3,2.6,5.2,4.3,2.6,5.2
