C1,C2,C3,C4,C5,C6,C7,LO1,LO2,LO3,LO4,LO5,LO6,LO7,LO8,LO9,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10
7.5,7.64,6.93,6.91,6.49,7.6,6.41,7.64,7.89,5.49,6.92,8.44,5.1,6.41,8.11,5.73,7.39,7.89,3.65,6.13,8.11,5.73,8.44,7.72,4.44,6.41
7.65,7.77,7.19,6.89,6.94,7.42,6.13,7.77,8.31,5.5,7.56,8.54,4.04,6.13,8.38,6.74,7.22,8.31,3.73,5.86,8.38,6.74,8.54,7.69,3.13,6.13
7.47,7.72,6.47,6.01,5.26,7.5,4.77,7.72,7.21,5.36,5.21,8.43,4.72,4.77,8.34,2.08,8.22,7.21,3.46,6.34,8.34,2.08,8.43,8.02,3.89,4.77
6.89,6.92,6.79,6.8,6.65,7.44,6.09,6.92,7.28,6.05,6.91,8.44,4.45,6.09,8.9,4.91,6.56,7.28,3.49,8.0,8.9,4.91,8.44,7.55,3.68,6.09
7.41,7.52,6.98,6.96,6.28,7.46,6.97,7.52,7.67,5.95,6.43,8.54,4.21,6.97,8.66,4.2,7.36,7.67,2.91,8.12,8.66,4.2,8.54,7.61,3.36,6.97
7.45,7.59,6.92,7.17,6.75,7.46,7.22,7.59,7.67,5.79,7.16,8.56,4.14,7.22,8.24,6.07,7.5,7.67,3.5,7.14,8.24,6.07,8.56,8.1,3.15,7.22
6.7,6.65,6.91,7.63,8.17,7.49,7.28,6.65,7.46,6.08,9.07,8.58,4.24,7.28,8.64,9.5,5.83,7.46,2.9,8.56,8.64,9.5,8.58,8.5,3.17,7.28
6.62,6.67,6.42,7.24,7.55,7.47,6.6,6.67,7.34,5.03,8.64,8.64,3.98,6.6,8.32,8.95,5.99,7.34,3.58,5.32,8.32,8.95,8.64,6.16,3.43,6.6
6.63,6.54,7.0,6.67,6.51,7.46,5.8,6.54,7.2,6.69,6.43,8.48,4.39,5.8,7.86,4.99,5.88,7.2,6.24,6.89,7.86,4.99,8.48,8.41,3.38,5.8
6.52,6.5,6.58,7.22,5.97,7.44,8.17,6.5,7.29,5.51,6.17,8.56,4.09,8.17,8.88,3.46,5.71,7.29,3.32,6.82,8.88,3.46,8.56,6.87,3.39,8.17
6.77,6.75,6.86,7.27,6.65,7.68,7.35,6.75,7.84,5.4,7.19,8.58,4.97,7.35,8.65,5.73,5.66,7.84,3.29,6.28,8.65,5.73,8.58,7.64,4.3,7.35
6.71,6.76,6.54,6.86,6.41,7.61,6.31,6.76,7.04,5.78,6.68,8.57,4.73,6.31,9.07,4.28,6.47,7.04,3.35,7.58,9.07,4.28,8.57,7.71,3.98,6.31
7.89,8.15,6.88,6.71,5.28,7.24,7.42,8.15,7.79,5.52,5.18,8.51,3.42,7.42,7.97,2.39,8.5,7.79,3.83,6.08,7.97,2.39,8.51,6.6,2.62,7.42
6.63,6.42,7.48,6.13,6.25,7.34,4.39,6.42,8.26,6.31,6.23,8.46,3.97,4.39,8.11,4.34,4.58,8.26,4.84,6.81,8.11,4.34,8.46,5.37,3.62,4.39
6.72,6.68,6.9,6.92,7.19,7.2,6.26,6.68,7.11,6.59,7.45,8.43,3.52,6.26,9.04,5.86,6.24,7.11,4.09,8.83,9.04,5.86,8.43,6.23,2.84,6.26
7.84,7.89,7.64,7.19,6.31,7.63,7.46,7.89,9.05,5.53,6.65,8.51,5.01,7.46,7.67,5.62,6.73,9.05,0.3,9.01,7.67,5.62,8.51,8.36,4.17,7.46
6.65,6.65,6.63,7.22,6.51,7.43,7.64,6.65,7.17,5.81,6.81,8.44,4.41,7.64,8.88,4.73,6.13,7.17,4.28,6.66,8.88,4.73,8.44,7.57,3.62,7.64
7.01,7.1,6.67,6.88,6.51,7.45,6.5,7.1,7.26,5.8,6.82,8.57,4.08,6.5,9.31,4.33,6.93,7.26,2.09,8.77,9.31,4.33,8.57,6.52,3.47,6.5
7.29,7.19,7.69,7.11,7.86,7.18,6.27,7.19,8.11,7.07,8.2,8.45,3.38,6.27,8.95,7.44,6.27,8.11,5.45,8.16,8.95,7.44,8.45,4.97,2.98,6.27
7.07,7.06,7.11,6.7,5.37,7.49,6.97,7.06,8.06,5.68,5.24,8.5,4.44,6.97,7.84,2.63,6.05,8.06,3.36,6.82,7.84,2.63,8.5,7.61,3.65,6.97
6.0,6.04,5.85,6.78,6.97,7.39,5.78,6.04,6.21,5.3,7.68,8.48,4.12,5.78,8.81,6.55,5.87,6.21,3.38,6.77,8.81,6.55,8.48,7.16,3.36,5.78
6.89,6.9,6.83,7.33,7.46,7.46,7.03,6.9,7.15,6.36,7.93,8.47,4.43,7.03,8.91,6.95,6.65,7.15,3.91,8.41,8.91,6.95,8.47,7.31,3.71,7.03
