student_id,AT1,AT2,AT3
1,4.4,5.2,6.9
2,4.0,3.9,6.6
3,5.2,4.6,5.9
4,5.2,2.9,6.7
5,4.7,4.3,6.2
6,3.6,3.5,5.9
7,5.3,4.7,6.9
8,2.6,3.1,6.6
9,5.1,3.5,6.9
10,3.5,4.4,6.9
11,4.8,1.8,6.2
12,2.8,2.3,6.8
13,4.6,5.8,7.0
14,3.1,1.9,6.2
15,4.3,4.8,6.3
16,4.3,4.6,6.8
17,4.1,3.3,6.6
18,3.8,4.5,6.8
19,3.4,4.5,6.9
20,5.4,3.4,6.6
21,2.7,2.6,6.3
22,3.0,4.2,6.6
23,4.9,3.8,6.4
24,4.0,4.1,6.2
25,3.2,4.9,6.7
26,5.6,5.2,7.0
27,3.7,3.9,6.9
28,4.3,4.2,7.0
29,2.9,3.1,6.7
30,3.7,4.3,6.8
31,3.4,3.0,6.8
32,6.0,3.9,6.9
33,3.2,2.7,6.8
34,3.1,1.6,6.7
35,4.5,4.4,6.7
36,5.9,4.2,6.2
37,3.7,2.8,5.9
38,4.4,4.7,6.9
39,3.4,3.9,4.9
40,4.7,2.7,7.0
41,3.7,3.8,6.9
42,4.2,1.9,6.7
43,3.2,2.3,6.6
44,5.2,3.6,6.8
45,2.4,2.4,4.9
46,4.0,2.7,6.5
47,2.3,2.6,6.4
48,5.2,4.3,6.6
49,3.1,3.6,7.0
50,4.2,2.1,6.2
51,4.3,4.6,5.9
52,4.3,4.1,6.7
53,4.1,4.1,5.9
54,4.0,3.2,6.2
55,3.7,5.5,7.0
56,3.2,3.3,6.7
57,4.2,3.5,6.9
58,4.0,3.7,6.2
59,4.3,2.6,5.2
