student_id,AT1,AT2,AT3
1,3.1,2.1,6.2
2,4.1,6.5,6.9
3,3.4,7.0,7.0
4,3.8,3.8,6.9
5,3.3,3.8,6.8
6,5.5,4.0,6.9
7,5.3,6.1,6.1
8,4.0,6.0,6.7
9,1.8,3.2,5.8
10,5.1,4.5,6.4
11,6.4,4.5,4.0
12,3.2,3.8,4.9
13,3.2,4.9,6.4
14,3.7,5.0,6.8
15,1.8,3.2,6.5
16,4.3,5.3,5.9
17,3.4,2.2,6.5
18,4.4,5.3,6.4
19,1.9,3.8,6.8
20,3.7,5.3,6.6
21,2.1,1.7,5.5
22,4.6,5.4,6.6
23,4.3,5.9,6.8
24,2.7,5.6,6.2
25,2.0,3.9,5.7
26,2.3,1.0,6.4
27,3.4,5.2,6.7
28,3.0,4.2,5.5
29,5.8,4.2,6.5
30,3.4,6.7,7.0
31,5.7,6.6,3.6
32,3.8,3.5,5.4
33,4.5,6.5,6.9
34,4.1,3.8,6.7
35,3.1,4.6,6.9
36,5.9,5.0,5.9
37,3.0,5.7,7.0
38,2.4,5.4,6.8
39,6.5,6.3,6.8
40,4.1,3.2,5.8
41,4.0,5.5,7.0
42,3.5,3.2,6.1
43,4.0,5.0,7.0
44,3.8,6.0,6.5
45,4.2,2.9,6.7
46,4.2,5.8,6.8
47,3.3,4.3,6.7
48,4.2,3.6,7.0
49,4.3,4.2,6.9
50,3.6,3.6,7.0
51,3.2,2.5,5.3
52,3.5,3.3,6.9
53,2.1,1.7,4.9
54,5.8,6.9,6.8
55,2.5,1.8,5.7
56,4.4,6.2,7.0
