student_id,AT1,AT2,AT3
1,1.7,2.6,5.6
2,4.2,5.7,6.2
3,2.7,2.5,1.0
4,2.8,3.6,5.2
5,4.0,4.1,5.3
6,3.0,3.8,4.9
7,3.6,5.6,5.6
8,4.5,4.4,5.6
9,6.3,3.7,4.8
10,2.1,2.8,4.2
11,3.8,5.3,5.1
12,2.0,2.9,5.1
13,6.0,4.5,4.6
14,2.9,2.0,2.8
15,4.1,4.4,6.1
16,3.8,1.6,1.6
17,2.1,2.2,4.9
18,4.2,3.4,5.0
19,3.4,3.0,5.2
20,2.8,2.5,5.3
21,4.7,4.9,6.2
22,4.9,4.6,5.0
23,2.9,4.3,4.9
24,3.5,4.0,4.4
25,4.8,5.4,5.3
26,4.1,5.1,5.1
27,4.3,1.0,1.9
28,3.5,4.5,4.9
29,4.8,3.0,5.9
30,4.4,5.1,5.5
31,5.3,5.9,5.3
32,4.9,6.0,6.2
33,3.9,4.3,6.3
34,3.1,4.4,4.7
35,4.5,3.4,4.9
36,2.5,4.2,6.2
37,4.1,4.3,5.7
38,3.8,4.9,5.6
39,1.7,1.5,2.4
40,4.4,4.4,6.3
41,3.0,3.1,5.7
42,3.6,3.6,4.7
43,2.5,1.0,1.6
44,3.4,4.2,4.0
45,2.0,2.3,4.6
46,3.1,4.0,5.3
47,4.7,4.7,4.7
48,2.4,4.4,5.0
49,4.2,3.0,5.4
50,2.5,4.7,5.9
51,5.1,3.1,4.6
52,1.8,2.2,2.8
53,3.1,5.2,4.9
54,3.9,1.0,1.9
55,5.4,4.4,4.5
56,1.0,2.1,4.7
57,3.9,3.8,5.9
58,2.4,4.4,4.6
59,4.0,2.7,4.9
60,1.9,3.3,6.4
61,1.7,2.1,4.6
62,5.0,4.6,5.4
63,4.3,5.4,4.6
64,3.2,3.3,5.6
65,2.7,1.0,2.5
66,5.0,3.3,4.7
67,3.3,4.8,5.5
68,4.4,4.1,4.7
