AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10,student_id
4,3,6,7.5,8,2.5,6,7,5,6.5,1
6.03,7.98,5.01,7.12,8.05,5.49,8.49,7.14,3.2,5.83,2
4.35,7.04,3.79,6.79,8.42,7.61,8.44,6.65,3.32,6.27,3
5.93,9.02,4.08,8.4,7.52,7.12,8.49,7.91,3.68,7.53,4
6.16,6.67,1.72,8.92,8.61,5.83,8.52,5.08,2.95,7.16,5
6.52,6.07,4.24,6.65,8.63,7.42,8.51,7.27,3.99,6.69,6
7.85,8.36,2.77,7.67,8.52,5,8.51,7.33,2.88,5.84,7
6.02,7.57,5.39,7.64,8.64,7.69,8.52,7.88,3.38,6.25,8
4.19,7.16,3.96,8.32,9.06,6.09,8.51,6.74,3.67,5.54,9
5.96,7.26,3.99,7.84,7.93,3.02,8.51,8.2,4.31,7.1,10
5.54,7.87,4.32,9.75,8.75,4.08,8.54,5.3,3.58,8.84,11
6.7,7.82,2.63,5.86,7.38,5.24,8.53,8.62,3.86,6.33,12
6.95,7.8,1.88,7.87,8.21,6.68,8.49,7.23,3.93,7.59,13
8.25,7.12,5.27,8.71,8.98,7.44,8.53,7.68,3.59,6.52,14
5.59,6.82,3.92,7.54,8.97,4.89,8.54,7.02,3.63,6.15,15
5.26,7.05,2.6,6.94,8.17,2.62,8.54,8.07,3.4,5.37,16
6.77,8.15,4.55,8.29,8,5.5,8.49,9.3,2.8,8.4,17
5.91,7.1,3.22,6.94,8.35,6.17,8.5,6.96,3.68,7.21,18
4.96,7.94,1.82,8.38,8.1,5.22,8.57,8.91,4.3,5.65,19
6.69,7.13,3.84,8.9,9.16,6.46,8.5,8.03,3.25,7.4,20
6.25,8.04,2.2,9.5,8.74,3.79,8.52,7.04,3.04,6.82,21
8.22,7.72,1.42,7.3,9.78,5.09,8.43,11,3.72,6.64,22
